timeframe_minutes,session_start_date,c1_start_new_york,c2_start_new_york,confirmation_new_york,direction,c1_high,c1_low,midpoint,c2_high,c2_low,c2_close,target,target_hit_new_york,target_hit_same_session,session_end_new_york,historical_right_edge_new_york
30,2026-08-06,2026-08-07 07:00:00-04:00,2026-08-07 07:30:00-04:00,2026-08-07 08:00:00-04:00,bearish,29662.0,29606.25,29634.125,29669.75,29612.0,29613.75,29606.25,2026-08-07 08:00:00-04:00,True,2026-08-07 17:00:00-04:00,2026-08-07 17:00:00-04:00
30,2026-08-06,2026-08-07 09:30:00-04:00,2026-08-07 10:00:00-04:00,2026-08-07 10:30:00-04:00,bullish,29821.75,29644.25,29733.0,29779.0,29564.25,29761.0,29821.75,2026-08-07 11:26:00-04:00,True,2026-08-07 17:00:00-04:00,2026-08-07 17:00:00-04:00
30,2026-08-06,2026-08-07 11:00:00-04:00,2026-08-07 11:30:00-04:00,2026-08-07 12:00:00-04:00,bearish,29828.75,29708.75,29768.75,29855.0,29793.75,29814.25,29708.75,2026-08-07 12:26:00-04:00,True,2026-08-07 17:00:00-04:00,2026-08-07 17:00:00-04:00
30,2026-08-06,2026-08-07 12:00:00-04:00,2026-08-07 12:30:00-04:00,2026-08-07 13:00:00-04:00,bullish,29830.25,29689.0,29759.625,29780.75,29669.0,29739.75,29830.25,2026-08-07 15:54:00-04:00,True,2026-08-07 17:00:00-04:00,2026-08-07 17:00:00-04:00
30,2026-08-06,2026-08-07 14:00:00-04:00,2026-08-07 14:30:00-04:00,2026-08-07 15:00:00-04:00,bullish,29754.75,29702.75,29728.75,29731.0,29676.75,29725.25,29754.75,2026-08-07 15:01:00-04:00,True,2026-08-07 17:00:00-04:00,2026-08-07 17:00:00-04:00
30,2026-08-09,2026-08-09 20:00:00-04:00,2026-08-09 20:30:00-04:00,2026-08-09 21:00:00-04:00,bullish,29906.5,29797.75,29852.125,29865.5,29788.0,29803.0,29906.5,2026-08-10 01:05:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-09 20:30:00-04:00,2026-08-09 21:00:00-04:00,2026-08-09 21:30:00-04:00,bearish,29865.5,29788.0,29826.75,29884.5,29791.5,29864.25,29788.0,2026-08-10 08:36:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-09 21:30:00-04:00,2026-08-09 22:00:00-04:00,2026-08-09 22:30:00-04:00,bearish,29895.0,29841.25,29868.125,29895.25,29852.25,29870.0,29841.25,2026-08-10 08:16:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-09 23:00:00-04:00,2026-08-09 23:30:00-04:00,2026-08-10 00:00:00-04:00,bearish,29892.0,29868.5,29880.25,29899.0,29870.5,29878.5,29868.5,2026-08-10 00:40:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 00:00:00-04:00,2026-08-10 00:30:00-04:00,2026-08-10 01:00:00-04:00,bullish,29904.0,29872.0,29888.0,29902.0,29863.75,29882.25,29904.0,2026-08-10 01:05:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 01:30:00-04:00,2026-08-10 02:00:00-04:00,2026-08-10 02:30:00-04:00,bearish,29930.5,29899.25,29914.875,29963.75,29907.75,29914.25,29899.25,2026-08-10 03:10:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 02:00:00-04:00,2026-08-10 02:30:00-04:00,2026-08-10 03:00:00-04:00,bullish,29963.75,29907.75,29935.75,29925.0,29904.25,29908.75,29963.75,2026-08-10 03:36:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 03:00:00-04:00,2026-08-10 03:30:00-04:00,2026-08-10 04:00:00-04:00,bearish,29953.25,29886.75,29920.0,29985.0,29935.75,29952.75,29886.75,2026-08-10 07:01:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 04:30:00-04:00,2026-08-10 05:00:00-04:00,2026-08-10 05:30:00-04:00,bearish,29975.75,29943.75,29959.75,29984.25,29963.0,29968.5,29943.75,2026-08-10 05:39:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 05:30:00-04:00,2026-08-10 06:00:00-04:00,2026-08-10 06:30:00-04:00,bullish,29971.75,29936.0,29953.875,29959.25,29915.25,29945.5,29971.75,,False,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 07:00:00-04:00,2026-08-10 07:30:00-04:00,2026-08-10 08:00:00-04:00,bullish,29926.25,29851.75,29889.0,29915.0,29845.25,29871.0,29926.25,,False,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 10:30:00-04:00,2026-08-10 11:00:00-04:00,2026-08-10 11:30:00-04:00,bullish,29893.0,29776.75,29834.875,29823.5,29753.5,29777.75,29893.0,,False,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 11:30:00-04:00,2026-08-10 12:00:00-04:00,2026-08-10 12:30:00-04:00,bearish,29855.0,29741.25,29798.125,29858.75,29803.75,29810.0,29741.25,2026-08-10 12:43:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 13:30:00-04:00,2026-08-10 14:00:00-04:00,2026-08-10 14:30:00-04:00,bullish,29797.5,29744.25,29770.875,29772.25,29742.25,29746.75,29797.5,,False,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-09,2026-08-10 14:30:00-04:00,2026-08-10 15:00:00-04:00,2026-08-10 15:30:00-04:00,bearish,29784.75,29742.25,29763.5,29796.5,29775.5,29781.75,29742.25,2026-08-10 15:51:00-04:00,True,2026-08-10 17:00:00-04:00,2026-08-10 17:00:00-04:00
30,2026-08-10,2026-08-10 19:00:00-04:00,2026-08-10 19:30:00-04:00,2026-08-10 20:00:00-04:00,bullish,29734.75,29702.5,29718.625,29726.5,29677.75,29703.5,29734.75,2026-08-10 20:11:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-10 21:00:00-04:00,2026-08-10 21:30:00-04:00,2026-08-10 22:00:00-04:00,bearish,29839.75,29764.25,29802.0,29842.75,29810.0,29818.5,29764.25,2026-08-11 02:31:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-10 22:00:00-04:00,2026-08-10 22:30:00-04:00,2026-08-10 23:00:00-04:00,bearish,29830.75,29812.0,29821.375,29846.25,29815.0,29818.75,29812.0,2026-08-11 01:30:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 00:00:00-04:00,2026-08-11 00:30:00-04:00,2026-08-11 01:00:00-04:00,bearish,29854.75,29832.25,29843.5,29862.0,29833.75,29839.25,29832.25,2026-08-11 01:05:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 02:30:00-04:00,2026-08-11 03:00:00-04:00,2026-08-11 03:30:00-04:00,bullish,29789.5,29732.25,29760.875,29770.5,29726.0,29743.75,29789.5,2026-08-11 04:02:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 04:00:00-04:00,2026-08-11 04:30:00-04:00,2026-08-11 05:00:00-04:00,bullish,29805.5,29718.0,29761.75,29763.75,29717.5,29749.0,29805.5,2026-08-11 06:24:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 04:30:00-04:00,2026-08-11 05:00:00-04:00,2026-08-11 05:30:00-04:00,bearish,29763.75,29717.5,29740.625,29765.75,29718.5,29759.25,29717.5,2026-08-11 09:35:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 07:00:00-04:00,2026-08-11 07:30:00-04:00,2026-08-11 08:00:00-04:00,bullish,29887.0,29817.25,29852.125,29836.75,29810.5,29832.5,29887.0,,False,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 07:30:00-04:00,2026-08-11 08:00:00-04:00,2026-08-11 08:30:00-04:00,bearish,29836.75,29810.5,29823.625,29871.5,29819.0,29829.0,29810.5,2026-08-11 09:30:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 08:30:00-04:00,2026-08-11 09:00:00-04:00,2026-08-11 09:30:00-04:00,bullish,29857.5,29819.75,29838.625,29852.0,29813.0,29839.75,29857.5,,False,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 10:00:00-04:00,2026-08-11 10:30:00-04:00,2026-08-11 11:00:00-04:00,bearish,29793.0,29718.25,29755.625,29805.0,29723.25,29776.25,29718.25,2026-08-11 11:08:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 12:00:00-04:00,2026-08-11 12:30:00-04:00,2026-08-11 13:00:00-04:00,bullish,29682.0,29622.0,29652.0,29665.5,29616.0,29625.75,29682.0,,False,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-10,2026-08-11 13:00:00-04:00,2026-08-11 13:30:00-04:00,2026-08-11 14:00:00-04:00,bearish,29634.75,29573.0,29603.875,29641.0,29599.0,29629.0,29573.0,2026-08-11 14:27:00-04:00,True,2026-08-11 17:00:00-04:00,2026-08-11 17:00:00-04:00
30,2026-08-11,2026-08-11 18:00:00-04:00,2026-08-11 18:30:00-04:00,2026-08-11 19:00:00-04:00,bearish,29664.0,29628.5,29646.25,29667.25,29633.75,29649.75,29628.5,2026-08-11 20:01:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-11 20:00:00-04:00,2026-08-11 20:30:00-04:00,2026-08-11 21:00:00-04:00,bearish,29676.0,29625.0,29650.5,29681.5,29652.5,29667.5,29625.0,,False,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-11 20:30:00-04:00,2026-08-11 21:00:00-04:00,2026-08-11 21:30:00-04:00,bullish,29681.5,29652.5,29667.0,29681.0,29639.0,29663.0,29681.5,2026-08-11 21:50:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-11 21:00:00-04:00,2026-08-11 21:30:00-04:00,2026-08-11 22:00:00-04:00,bearish,29681.0,29639.0,29660.0,29684.75,29645.25,29658.5,29639.0,,False,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-11 22:30:00-04:00,2026-08-11 23:00:00-04:00,2026-08-11 23:30:00-04:00,bearish,29703.75,29675.25,29689.5,29710.5,29694.0,29702.75,29675.25,2026-08-12 01:20:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-11 23:00:00-04:00,2026-08-11 23:30:00-04:00,2026-08-12 00:00:00-04:00,bullish,29710.5,29694.0,29702.25,29705.0,29684.0,29694.5,29710.5,2026-08-12 00:48:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 00:30:00-04:00,2026-08-12 01:00:00-04:00,2026-08-12 01:30:00-04:00,bullish,29716.75,29683.0,29699.875,29714.5,29668.0,29688.25,29716.75,2026-08-12 01:55:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 01:30:00-04:00,2026-08-12 02:00:00-04:00,2026-08-12 02:30:00-04:00,bearish,29718.5,29686.5,29702.5,29724.5,29697.75,29709.75,29686.5,,False,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 06:00:00-04:00,2026-08-12 06:30:00-04:00,2026-08-12 07:00:00-04:00,bullish,29845.25,29814.5,29829.875,29844.0,29782.25,29815.5,29845.25,2026-08-12 07:59:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 09:30:00-04:00,2026-08-12 10:00:00-04:00,2026-08-12 10:30:00-04:00,bullish,30001.5,29853.25,29927.375,29946.25,29848.25,29916.5,30001.5,,False,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 10:00:00-04:00,2026-08-12 10:30:00-04:00,2026-08-12 11:00:00-04:00,bullish,29946.25,29848.25,29897.25,29931.75,29835.75,29867.25,29946.25,,False,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 11:30:00-04:00,2026-08-12 12:00:00-04:00,2026-08-12 12:30:00-04:00,bearish,29880.0,29818.75,29849.375,29888.0,29829.0,29873.5,29818.75,2026-08-12 16:26:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
30,2026-08-11,2026-08-12 12:30:00-04:00,2026-08-12 13:00:00-04:00,2026-08-12 13:30:00-04:00,bearish,29917.5,29850.75,29884.125,29924.5,29888.25,29910.0,29850.75,2026-08-12 15:38:00-04:00,True,2026-08-12 17:00:00-04:00,2026-08-12 17:00:00-04:00
