time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1
1785783480,28912.25,28917.75,28908.5,28914.75,28652.432809920512,28806.52522803653,28498.340391804493
1785783540,28915,28917.5,28906.25,28907.5,28652.621510577595,28806.815387536764,28498.427633618427
1785783600,28907.5,28935.5,28906.25,28924.75,28653.30595462977,28807.900259492184,28498.711649767356
1785783660,28924.5,28943,28922.25,28937.5,28653.854628259465,28808.795165157666,28498.914091361265
1785783720,28937.5,28943.75,28936.75,28937.5,28654.223909197477,28809.403810456348,28499.044007938606
1785783780,28937.25,28941,28932,28937.5,28654.561144824405,28809.955026813703,28499.167262835108
1785783840,28937.75,28939,28928.75,28933.5,28654.768778845715,28810.29120850315,28499.24634918828
1785783900,28934,28936.75,28912,28922.25,28655.247950862235,28811.045074033518,28499.45082769095
1785783960,28921.75,28929.5,28911,28926,28655.631972143914,28811.645359078786,28499.618585209042
1785784020,28926.75,28927,28917.75,28917.75,28655.831450755977,28811.955539117025,28499.70736239493
1785784080,28917.75,28918,28900,28915,28656.311426042408,28812.6799842914,28499.942867793416
1785784140,28914.5,28915.75,28908,28909.25,28656.477204451465,28812.929769147515,28500.024639755415
1785784200,28909.5,28916,28906.75,28909.5,28656.739451287565,28813.324167789244,28500.154734785887
1785784260,28909.75,28920,28908.25,28917.5,28656.96960840782,28813.67439122487,28500.26482559077
1785784320,28917.75,28919.75,28911.25,28914.75,28657.165101830484,28813.971530373663,28500.358673287305
1785784380,28914,28914.5,28894.25,28900.5,28657.55141190833,28814.53702298118,28500.56580083548
1785784440,28901,28905.25,28895.75,28900,28657.793708026587,28814.888116981718,28500.699299071457
1785784500,28899.75,28911.5,28898.75,28909,28658.120654326365,28815.37007293533,28500.8712357174
1785784560,28909.5,28914.75,28903.5,28908.25,28658.367341523986,28815.73581375795,28500.998869290022
1785784620,28908.75,28917.5,28904,28915.25,28658.634782922105,28816.135817351074,28501.133748493135
1785784680,28915,28926.75,28913.5,28915.25,28658.960611251772,28816.63127357447,28501.289948929076
